Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,net generation,North America,367.797,380.221,378.43,397.358,426.983,447.981,457.507,484.209,491.189,485.342,468.889,494.452,505.847,518.405,540.122,544.484,557.591,557.9619,546.056,563.107,588.327,572.26504,583.84304,572.28816,582.3095,606.362,592.531,612.876,614.73,595.05,581.707868,611.421342,612.174504,637.650107,635.978212,638.850534,644.788913,644.58814,635.7934577,627.8128689,623.9828667,625.8546594
United States,net generation,North America,2289.600364,2297.973338,2244.372487,2313.445686,2419.465367,2473.00212,2490.470952,2575.287667,2707.411178,2967.177014,3037.862541,3073.83819,3083.925424,3197.238487,3247.575463,3353.548041,3444.257336,3492.250345,3620.383801,3694.912538,3802.221573,3736.784538,3858.619244,3883.380201,3970.796829,4055.785197,4065.230825,4157.491035,4120.587091,3951.942958,4127.598158,4104.174499,4054.26169,4074.145289,4104.796801,4092.85304,4096.386172,4059.433178,4210.526978,4165.531327,4051.289226,4164.564719
Canada,net consumption,North America,309.4796186,319.0600113,319.1662899,331.6464341,356.7081734,372.3747488,389.3921382,405.2380648,422.242689,434.632367,433.827893,439.87071,444.724821,455.060803,459.642142,466.698881,473.652624,482.487399,479.436168,490.033692,505.225524,505.604054,513.18464,528.233048,534.064122,560.37862,550.193991,560.760367,559.070389,535.105882,530.103604,548.219153,539.186083,560.744571,559.348308,543.406076,548.451276,547.034675,554.0621157,547.2500179,533.5070587,554.7443874
United States,net consumption,North America,2094.449,2147.102862,2086.441352,2150.954584,2285.796394,2323.973852,2368.753052,2457.272219,2578.062495,2755.66608,2837.118809,2886.099524,2897.24991,3000.747608,3080.941273,3164.023808,3253.834756,3301.927385,3425.184938,3483.819094,3592.473307,3557.247608,3631.817305,3662.224009,3716.191051,3811.346491,3817.37405,3890.977208,3867.360635,3725.345123,3889.289876,3886.633789,3838.802726,3876.510978,3914.50681,3914.299176,3921.110699,3888.305645,4032.628267,3989.378249,3897.894198,3979.279761
Canada,imports,North America,4.399618632,3.278011265,7.458289863,3.641434106,1.252173376,1.427748792,3.69713819,2.493064815,3.932689023,12.36336703,15.543,1.688,1.836,2.692,0.941,2.468,1.936,7.47,11.683276,12.953,12.685,16.105612,15.231079,23.584513,22.482109,19.676695,23.623767,19.380104,23.864071,18.163423,18.686212,14.961599,10.88722,11.370751,12.120716,10.770966,9.302534,9.893296,13.194693,13.334136,9.811685,10.067376
United States,imports,North America,25.021365,36.297561,32.852344,38.667604,42.219259,45.895431,40.712723,52.218967,38.83651,26.110432,18.445395,21.931029,28.246598,31.357525,46.833177,42.85353,43.496528,43.03123,39.513358,43.214747,48.592276,38.500246,36.779077,30.3945508,34.210061,43.929314,42.69131,51.395702,57.019381,52.190595,45.083186,52.29971,59.257069,69.24905,66.510284,75.770469,72.716263,65.684917,58.260602,59.052461,61.448863,53.166585
Canada,exports,North America,30.48,36.365,36.713,38.895,40.828,42.317,38.238,46.901,33.866,21.95,16.494107,19.81529,26.224179,29.364197,44.821858,40.596119,42.233376,43.008501,39.502108,42.911308,48.515476,38.401598,36.536479,29.324625,33.007487,43.528075,42.735776,50.330737,56.021682,51.781541,44.388476,51.516788,57.864641,62.246287,59.45562,72.952424,73.103171,72.039761,61.401035,60.348987,67.396493,48.140421
United States,exports,North America,4.095648,3.060123,3.536463,3.337293,2.558293,4.964917,4.815565,5.882235,7.066646,15.134589,16.133584,2.304578,2.826579,3.54089,2.009882,3.622665,3.301986,8.974039,13.656477,14.221773,14.829382,16.473292,15.795681,23.9747034,22.897863,19.150968,24.271335,20.143592,24.198159,18.137984,19.10618,15.048552,11.995649,11.373207,13.298253,9.099889,6.214017,9.370803,13.804492,20.008032,14.134679,13.841163
Canada,net imports,North America,-26.08038137,-33.08698874,-29.25471014,-35.25356589,-39.57582662,-40.88925121,-34.54086181,-44.40793519,-29.93331098,-9.586632969,-0.951107,-18.12729,-24.388179,-26.672197,-43.880858,-38.128119,-40.297376,-35.538501,-27.818832,-29.958308,-35.830476,-22.295986,-21.3054,-5.740112,-10.525378,-23.85138,-19.112009,-30.950633,-32.157611,-33.618118,-25.702264,-36.555189,-46.977421,-50.875536,-47.334904,-62.181458,-63.800637,-62.146465,-48.206342,-47.014851,-57.584808,-38.073045
United States,net imports,North America,20.925717,33.237438,29.315881,35.330311,39.660966,40.930514,35.897158,46.336732,31.769864,10.975843,2.311811,19.626451,25.420019,27.816635,44.823295,39.230865,40.194542,34.057191,25.856881,28.992974,33.762894,22.026954,20.983396,6.4198474,11.312198,24.778346,18.419975,31.25211,32.821222,34.052611,25.977006,37.251158,47.26142,57.875843,53.212031,66.67058,66.502246,56.314114,44.45611,39.044429,47.314184,39.325422
Canada,installed capacity,North America,79.186,81.597,84.17,86.911,93.245,94.026,96.695,98.889,96.049,97.163,103.652,104.852,108.265,107.838,112.081,112.916,114.343,110.484,108.035,109.007,112.052,113.614,116.152,121.025,121.748,124.381,125.906,126.92,128.159,133.368,134.126,134.645,135.409,135.287,138.475,146.026,148.613,149.536,150.466,151.607,152.352,153.617
United States,installed capacity,North America,577.614,597.313,612.593,619.675,633.531,653.252,662.879,672.125,675.605,709.758,720.781,725.437,731.681,739.375,748.395,753.614,760.03,762.524,759.615,768.962,811.719,848.254,905.301,948.448,962.942,978.019,986.214,994.8885,1010.1726,1025.4004,1039.0618,1051.251,1063.033,1060.0635,1075.7488,1073.833,1087.0979,1100.5174,1114.2869,1122.3229,1143.2656,1176.7288
Canada,distribution losses,North America,32.237,28.074,30.009,30.458,30.699,34.717,33.574,34.563,39.013,41.123,34.11,36.454,36.734,36.672,36.599,39.657,43.641,39.936,38.801,43.115,47.271,44.365,49.353,38.315,37.72,22.132,23.225,21.165,23.502,26.326,25.902,26.647,26.011,26.03,29.295,33.263,32.537,35.407,33.525,33.548,32.891,33.037227
United States,distribution losses,North America,216.0770806,184.107914,187.2470164,197.8214127,173.3299389,189.9587824,157.615058,164.3521802,161.1185471,222.486777,203.0555426,207.3651174,212.0955327,224.3075139,211.4574852,228.755098,230.6171225,224.3801505,221.055744,240.0864186,243.5111602,201.563884,247.7853351,227.5760394,265.9179766,269.217052,266.2767508,297.7659375,286.0476778,260.6504462,264.2852883,254.791868,262.7203839,255.5101531,243.5020226,245.2244445,241.7777182,227.4416463,222.3548204,215.1975074,200.7092115,224.61038
